epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,718.448,0.55566,0.9486,6.09472,0.00367,0,0.08749,0.03226,0.02594,0.02007,0.08749,0.03226,0.02721,0.02103,0.81432,0.74377,4.62902,0.00772,0,0.000836841,0.000836841,0.000836841
30,741.559,0.54445,0.97761,6.10755,0.00362,0,0.48349,0.12097,0.13549,0.10354,0.48349,0.12097,0.13978,0.11531,0.93127,0.73423,4.0256,0.00765,0,0.000825808,0.000825808,0.000825808
31,764.963,0.50983,0.93555,6.09598,0.00331,0,0.13269,0.16935,0.07221,0.05235,0.13971,0.17742,0.07601,0.05877,0.93216,0.734,4.03521,0.00919,0,0.000814503,0.000814503,0.000814503
32,788.557,0.52726,0.96791,6.08236,0.00358,0,0.14212,0.12097,0.08664,0.06808,0.12051,0.12097,0.09127,0.07203,0.74362,0.73726,4.14486,0.00701,0,0.000802938,0.000802938,0.000802938
33,811.929,0.52766,0.95308,6.09892,0.00355,0,0.44834,0.14516,0.14728,0.10698,0.44834,0.14516,0.14943,0.12314,0.71943,0.71008,4.18213,0.0067,0,0.000791122,0.000791122,0.000791122
34,835.237,0.51791,0.95683,6.10236,0.00336,0,0.38907,0.12097,0.10591,0.08567,0.38907,0.12097,0.10591,0.09044,0.75042,0.69979,4.61229,0.00732,0,0.000779069,0.000779069,0.000779069
35,858.311,0.51171,0.93303,6.09093,0.0034,0,0.31518,0.16129,0.11318,0.0893,0.31518,0.16129,0.11564,0.09182,0.90533,0.70617,4.33676,0.00897,0,0.000766789,0.000766789,0.000766789
36,881.363,0.52567,0.87131,6.09964,0.00333,0,0.26295,0.20968,0.1582,0.1207,0.24556,0.20968,0.16008,0.13415,0.78759,0.70835,4.21671,0.00752,0,0.000754296,0.000754296,0.000754296
37,904.509,0.50527,0.89997,6.10111,0.0033,0,0.21635,0.23824,0.14453,0.11644,0.2175,0.24194,0.14911,0.121,0.84729,0.70581,3.97238,0.0071,0,0.000741601,0.000741601,0.000741601
38,927.995,0.49969,0.92834,6.11004,0.00338,0,0.11538,0.20968,0.05823,0.0454,0.11322,0.20161,0.05631,0.04643,0.77342,0.6989,4.80161,0.00797,0,0.000728717,0.000728717,0.000728717
39,951.091,0.50362,0.91645,6.10756,0.00326,0,0.20295,0.08065,0.06193,0.04713,0.20295,0.08065,0.06255,0.05227,0.71231,0.67129,4.66894,0.00646,0,0.000715656,0.000715656,0.000715656
40,974.546,0.50572,0.9024,6.09009,0.00327,0,0.01125,0.17742,0.00214,0.00132,0.01176,0.18548,0.00238,0.00168,0.74622,0.66649,6.89919,0.00727,0,0.000702432,0.000702432,0.000702432
41,997.754,0.49291,0.90716,6.07766,0.00323,0,0.26266,0.07258,0.05295,0.04204,0.26266,0.07258,0.05372,0.04601,0.84138,0.68017,4.75501,0.0078,0,0.000689058,0.000689058,0.000689058
42,1021.04,0.47702,0.9072,6.08678,0.00316,0,0.20619,0.06452,0.04525,0.03396,0.20619,0.06452,0.04525,0.03568,0.74732,0.66802,4.777,0.00658,0,0.000675546,0.000675546,0.000675546
