epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,18099.3,0.83517,1.17064,0.37383,0.00715,0.35751,0.99847,0.99866,0.995,0.84815,0.99847,0.99866,0.995,0.7809,0.63774,0.92358,0.1705,0.00716,0,0.000508479,0.000508479,0.000508479
29,18750.2,0.83213,1.16639,0.36951,0.00715,0.35605,0.99725,0.99817,0.99493,0.84732,0.99725,0.99817,0.99493,0.78119,0.63727,0.92462,0.17114,0.00715,0,0.000480974,0.000480974,0.000480974
30,19401.9,0.82042,1.15927,0.36279,0.00704,0.35155,0.9969,0.99939,0.99497,0.84834,0.9969,0.99939,0.99497,0.78053,0.63653,0.92442,0.17126,0.00714,0,0.00045373,0.00045373,0.00045373
31,20055.8,0.82086,1.15832,0.36504,0.00699,0.3519,0.99847,0.9986,0.995,0.84837,0.99847,0.9986,0.995,0.78105,0.63804,0.92589,0.17059,0.00715,0,0.000426852,0.000426852,0.000426852
32,20710.2,0.81678,1.1531,0.36721,0.00701,0.3516,0.99727,0.99817,0.995,0.84853,0.99727,0.99817,0.995,0.78142,0.63742,0.92526,0.17135,0.00714,0,0.00040044,0.00040044,0.00040044
33,21363.3,0.81635,1.15875,0.36327,0.00703,0.34854,0.9978,0.99786,0.99491,0.84857,0.9978,0.99786,0.99491,0.78127,0.63703,0.92515,0.17097,0.00714,0,0.000374596,0.000374596,0.000374596
34,22020.4,0.81526,1.15723,0.36757,0.00698,0.35111,0.99858,0.99908,0.995,0.84815,0.99858,0.99908,0.995,0.78152,0.63661,0.92485,0.1701,0.00714,0,0.000349418,0.000349418,0.000349418
35,22676.5,0.81193,1.15053,0.35925,0.00693,0.3471,0.9971,0.99969,0.995,0.84805,0.9971,0.99969,0.995,0.78144,0.63632,0.92452,0.16951,0.00714,0,0.000325,0.000325,0.000325
36,23332.2,0.81387,1.15293,0.36012,0.00693,0.35068,0.99743,0.99969,0.99464,0.84776,0.99743,0.99969,0.99464,0.78148,0.63576,0.92408,0.16937,0.00714,0,0.000301436,0.000301436,0.000301436
37,23978.1,0.65847,0.92185,0.18122,0.00777,0.29146,0.99719,0.99939,0.99473,0.84834,0.99719,0.99939,0.99473,0.78142,0.63583,0.92371,0.16952,0.00714,0,0.000278814,0.000278814,0.000278814
38,24612,0.65512,0.91958,0.17869,0.00773,0.29047,0.99644,0.99908,0.99479,0.84874,0.99644,0.99908,0.99479,0.78149,0.63531,0.92332,0.17012,0.00713,0,0.000257222,0.000257222,0.000257222
39,25263,0.65241,0.91487,0.17656,0.00766,0.28912,0.99769,0.99908,0.995,0.84884,0.99769,0.99908,0.995,0.78169,0.6346,0.92259,0.16873,0.00712,0,0.00023674,0.00023674,0.00023674
40,25897.4,0.65045,0.91723,0.1761,0.00764,0.28899,0.99706,0.99939,0.995,0.84879,0.99706,0.99939,0.995,0.78189,0.63383,0.9222,0.16963,0.0071,0,0.000217446,0.000217446,0.000217446
41,26536.3,0.6488,0.9153,0.17604,0.00763,0.28898,0.99724,1,0.99499,0.8488,0.99724,1,0.99499,0.78172,0.63349,0.92175,0.16969,0.0071,0,0.000199414,0.000199414,0.000199414
42,27169.1,0.64547,0.91288,0.17503,0.00757,0.28864,0.99695,0.99899,0.99497,0.84896,0.99695,0.99899,0.99497,0.78191,0.63284,0.92131,0.16971,0.00709,0,0.000182711,0.000182711,0.000182711
43,27797.5,0.64432,0.91511,0.17542,0.00755,0.28778,0.99695,0.99951,0.99499,0.84883,0.99695,0.99951,0.99499,0.78191,0.6322,0.92099,0.16886,0.00708,0,0.000167402,0.000167402,0.000167402
44,28429.5,0.64489,0.91144,0.17428,0.00756,0.28785,0.99695,0.99886,0.99499,0.84922,0.99695,0.99886,0.99499,0.78151,0.63182,0.92049,0.16871,0.00708,0,0.000153545,0.000153545,0.000153545
45,29064,0.64066,0.9095,0.17303,0.00749,0.2866,0.99719,1,0.99499,0.84933,0.99719,1,0.99499,0.7822,0.631,0.92001,0.16791,0.00707,0,0.000141191,0.000141191,0.000141191
46,29695.5,0.64108,0.91003,0.17322,0.00749,0.28764,0.99695,0.99919,0.99499,0.84951,0.99695,0.99919,0.99499,0.78344,0.6308,0.91958,0.16832,0.00706,0,0.000130387,0.000130387,0.000130387
47,30326.7,0.64008,0.90998,0.17408,0.00748,0.28643,0.99629,0.99939,0.99495,0.84957,0.99629,0.99939,0.99495,0.78366,0.63032,0.91926,0.16932,0.00705,0,0.000121176,0.000121176,0.000121176
48,30956.6,0.63932,0.90788,0.17294,0.00747,0.28619,0.99634,0.99922,0.99495,0.85031,0.99634,0.99922,0.99495,0.78394,0.63007,0.91906,0.169,0.00704,0,0.000113591,0.000113591,0.000113591
49,31588.1,0.63627,0.90604,0.17074,0.00744,0.28524,0.99664,0.99911,0.99482,0.84948,0.99664,0.99911,0.99482,0.78362,0.62944,0.91883,0.16886,0.00704,0,0.000107662,0.000107662,0.000107662
50,32220,0.63768,0.90872,0.17062,0.00745,0.28549,0.99657,0.99847,0.99467,0.84935,0.99657,0.99847,0.99467,0.7835,0.62944,0.91848,0.16945,0.00703,0,0.000103411,0.000103411,0.000103411
51,32854.2,0.6363,0.90619,0.17155,0.00742,0.28555,0.99634,0.99861,0.99468,0.84992,0.99634,0.99861,0.99468,0.78282,0.62924,0.91822,0.16867,0.00703,0,0.000100854,0.000100854,0.000100854
