epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4344.41,1.44467,2.7391,0.65317,1.19969,0,0.96345,0.96802,0.97811,0.54582,0.88412,0.88679,0.83009,0.30044,1.50229,2.42873,0.58711,1.23299,0,0.000832349,0.000832349,0.000832349
29,4496.36,1.45077,2.73616,0.65736,1.202,0,0.96164,0.96759,0.97768,0.55083,0.88867,0.89344,0.85347,0.31274,1.48769,2.42442,0.58587,1.22907,0,0.000820525,0.000820525,0.000820525
30,4652.81,1.44533,2.7332,0.65561,1.19779,0,0.96993,0.97409,0.98106,0.55704,0.8782,0.88182,0.83454,0.30211,1.46211,2.4265,0.58428,1.22183,0,0.000808389,0.000808389,0.000808389
31,4806.18,1.43391,2.7285,0.64567,1.19589,0,0.96574,0.96949,0.97669,0.54729,0.89028,0.88883,0.84254,0.30971,1.49379,2.42229,0.5726,1.23445,0,0.000795954,0.000795954,0.000795954
32,4957.64,1.43407,2.71369,0.64454,1.19572,0,0.96764,0.97445,0.98186,0.55745,0.89528,0.89285,0.85618,0.3102,1.48133,2.43743,0.56413,1.23038,0,0.000783231,0.000783231,0.000783231
33,5112.14,1.42765,2.71285,0.63696,1.19142,0,0.97083,0.97041,0.981,0.55537,0.88672,0.88616,0.8324,0.3093,1.47554,2.40395,0.56097,1.22291,0,0.000770234,0.000770234,0.000770234
34,5276.16,1.43216,2.70734,0.6409,1.19603,0,0.96563,0.96931,0.97848,0.55492,0.88875,0.89124,0.83821,0.30889,1.47231,2.39913,0.57374,1.22901,0,0.000756976,0.000756976,0.000756976
35,5426.22,1.42904,2.71487,0.63561,1.19192,0,0.96862,0.97243,0.97813,0.55499,0.88672,0.89046,0.83419,0.30374,1.47692,2.40738,0.55845,1.22931,0,0.000743468,0.000743468,0.000743468
36,5582.47,1.42251,2.70182,0.62621,1.18813,0,0.96878,0.97518,0.98032,0.5563,0.88808,0.89524,0.84265,0.30617,1.48155,2.42652,0.55285,1.22935,0,0.000729725,0.000729725,0.000729725
37,5736.25,1.42749,2.69902,0.62995,1.19337,0,0.96686,0.97603,0.98044,0.55861,0.88615,0.89156,0.83874,0.30852,1.46696,2.40591,0.56209,1.22539,0,0.000715761,0.000715761,0.000715761
38,5886.46,1.42344,2.69012,0.63319,1.18785,0,0.96709,0.9739,0.98039,0.56052,0.88064,0.8841,0.83309,0.30869,1.46403,2.41194,0.55801,1.22483,0,0.000701588,0.000701588,0.000701588
39,6035.19,1.41175,2.68638,0.62899,1.1847,0,0.96873,0.97298,0.98182,0.56303,0.8889,0.89248,0.8372,0.30945,1.45431,2.40862,0.56392,1.2184,0,0.000687222,0.000687222,0.000687222
40,6184.16,1.41807,2.68529,0.62837,1.1881,0,0.96833,0.97115,0.97935,0.5617,0.89238,0.89469,0.84401,0.31408,1.46326,2.39979,0.55866,1.21652,0,0.000672675,0.000672675,0.000672675
41,6331.72,1.41354,2.67745,0.62441,1.18553,0,0.96941,0.97266,0.98176,0.56353,0.88976,0.89065,0.83861,0.31038,1.4626,2.38902,0.54881,1.218,0,0.000657963,0.000657963,0.000657963
42,6480.64,1.40126,2.65789,0.61423,1.17883,0,0.96816,0.97242,0.97875,0.5592,0.89101,0.89359,0.83953,0.30945,1.46246,2.40004,0.54927,1.22016,0,0.000643101,0.000643101,0.000643101
43,6631.16,1.4033,2.66898,0.61171,1.18232,0,0.96652,0.97133,0.97879,0.55578,0.88837,0.89156,0.83633,0.31091,1.47388,2.39351,0.54587,1.22545,0,0.000628101,0.000628101,0.000628101
44,6783.49,1.39889,2.66348,0.60979,1.17943,0,0.96624,0.97262,0.97885,0.55893,0.8879,0.89359,0.83596,0.31175,1.46732,2.38984,0.55028,1.2265,0,0.000612981,0.000612981,0.000612981
45,6933.56,1.39578,2.66648,0.60854,1.17604,0,0.96827,0.97556,0.98171,0.56119,0.88516,0.89046,0.83845,0.30982,1.46786,2.40938,0.5338,1.22298,0,0.000597754,0.000597754,0.000597754
46,7082.37,1.39628,2.65523,0.60768,1.17996,0,0.9672,0.97482,0.98203,0.56121,0.88194,0.88807,0.83273,0.30875,1.4625,2.39791,0.55139,1.22311,0,0.000582435,0.000582435,0.000582435
47,7227.11,1.38592,2.64687,0.59972,1.17143,0,0.97109,0.9755,0.98241,0.56201,0.8821,0.88556,0.82921,0.30679,1.46521,2.40368,0.53685,1.22043,0,0.00056704,0.00056704,0.00056704
48,7372.2,1.39224,2.65343,0.60278,1.17424,0,0.96733,0.97394,0.98168,0.55918,0.88579,0.89093,0.83474,0.3056,1.46274,2.40388,0.54389,1.22038,0,0.000551584,0.000551584,0.000551584
49,7518.37,1.3866,2.63905,0.60028,1.17226,0,0.96846,0.97621,0.98259,0.56202,0.88454,0.8912,0.83309,0.30724,1.46232,2.4118,0.53925,1.21866,0,0.000536081,0.000536081,0.000536081
50,7669.79,1.37535,2.62588,0.59718,1.16797,0,0.96972,0.975,0.98337,0.56404,0.88491,0.88973,0.83728,0.30639,1.45532,2.41209,0.53017,1.21817,0,0.000520548,0.000520548,0.000520548
51,7818.62,1.38025,2.6366,0.59272,1.16865,0,0.96815,0.97611,0.98161,0.56363,0.88381,0.88914,0.82814,0.3063,1.45845,2.40311,0.53762,1.22118,0,0.000505,0.000505,0.000505
52,7967.37,1.37302,2.63057,0.58962,1.16482,0,0.96703,0.97629,0.9828,0.56332,0.88773,0.89228,0.84335,0.31105,1.45899,2.40398,0.53368,1.21892,0,0.000489452,0.000489452,0.000489452
53,8117.11,1.37862,2.62785,0.58688,1.16592,0,0.96649,0.97335,0.98071,0.56188,0.88753,0.88899,0.84072,0.30901,1.46434,2.40484,0.53165,1.21927,0,0.000473919,0.000473919,0.000473919
54,8268.01,1.3707,2.62157,0.58762,1.16439,0,0.96828,0.975,0.9813,0.55964,0.8793,0.88403,0.82449,0.30438,1.46975,2.40624,0.52933,1.22433,0,0.000458416,0.000458416,0.000458416
55,8419.93,1.36382,2.61934,0.58072,1.16339,0,0.96973,0.97743,0.98404,0.5631,0.88292,0.88978,0.8285,0.30522,1.46371,2.39952,0.52539,1.21934,0,0.00044296,0.00044296,0.00044296
56,8574.41,1.36302,2.61107,0.58008,1.16073,0,0.96856,0.97831,0.9833,0.56168,0.88205,0.89046,0.82687,0.30318,1.46017,2.39402,0.52476,1.21944,0,0.000427565,0.000427565,0.000427565
57,8735.06,1.35856,2.60744,0.57496,1.16107,0,0.96798,0.97427,0.98162,0.55906,0.88088,0.8866,0.82611,0.30234,1.46748,2.41305,0.52931,1.22402,0,0.000412246,0.000412246,0.000412246
58,8903.56,1.36017,2.59532,0.57633,1.1585,0,0.96728,0.97264,0.98058,0.55729,0.88125,0.88568,0.82647,0.30183,1.46991,2.40868,0.52688,1.22617,0,0.000397019,0.000397019,0.000397019
59,9065.74,1.35797,2.60137,0.57477,1.15927,0,0.9664,0.97372,0.98135,0.56083,0.88178,0.88832,0.83156,0.30537,1.46658,2.40776,0.52721,1.22265,0,0.000381899,0.000381899,0.000381899
60,9222.97,1.35291,2.58328,0.57133,1.15353,0,0.96635,0.97127,0.98114,0.55772,0.87961,0.8866,0.82761,0.30205,1.46987,2.40929,0.53058,1.22489,0,0.000366899,0.000366899,0.000366899
61,9382.37,1.34406,2.58081,0.56494,1.15226,0,0.96612,0.97519,0.98156,0.55769,0.87311,0.88147,0.8178,0.30016,1.46717,2.41904,0.52701,1.22255,0,0.000352037,0.000352037,0.000352037
62,9541.09,1.34444,2.57804,0.56736,1.15085,0,0.96822,0.97426,0.98214,0.55686,0.87562,0.88146,0.82359,0.30143,1.47236,2.42557,0.52399,1.22533,0,0.000337325,0.000337325,0.000337325
63,9699.77,1.33693,2.58175,0.56249,1.14742,0,0.96664,0.9739,0.98098,0.55668,0.87849,0.88513,0.82356,0.30406,1.47448,2.41393,0.52175,1.2262,0,0.000322778,0.000322778,0.000322778
64,9857.55,1.33562,2.57949,0.55632,1.14649,0,0.96819,0.97464,0.98154,0.55514,0.87832,0.88222,0.82106,0.302,1.47855,2.41252,0.5166,1.22916,0,0.000308412,0.000308412,0.000308412
65,10014.4,1.32941,2.5652,0.55573,1.14176,0,0.96728,0.97464,0.97992,0.5557,0.87816,0.88352,0.81854,0.30079,1.47708,2.42021,0.51646,1.22857,0,0.000294239,0.000294239,0.000294239
66,10170.9,1.3283,2.56102,0.55302,1.14116,0,0.9686,0.97516,0.98101,0.55599,0.8797,0.88565,0.8221,0.3,1.47761,2.41844,0.51318,1.23101,0,0.000280275,0.000280275,0.000280275
67,10326.4,1.32397,2.57046,0.55092,1.14165,0,0.96762,0.97611,0.98168,0.55585,0.87661,0.88397,0.81775,0.29851,1.47912,2.42304,0.51124,1.23277,0,0.000266532,0.000266532,0.000266532
68,10484.8,1.3239,2.54777,0.54809,1.14408,0,0.96877,0.97758,0.98256,0.55611,0.87406,0.8814,0.8086,0.2973,1.47859,2.42572,0.51089,1.2345,0,0.000253024,0.000253024,0.000253024
69,10641.6,1.32667,2.53586,0.54971,1.14695,0,0.97022,0.97588,0.9837,0.55604,0.87499,0.87859,0.81142,0.29674,1.47995,2.4268,0.50697,1.23472,0,0.000239766,0.000239766,0.000239766
70,10798.5,1.32127,2.54255,0.54818,1.14019,0,0.97108,0.97515,0.98336,0.55475,0.87341,0.87668,0.81202,0.29646,1.48082,2.42944,0.50801,1.23517,0,0.000226769,0.000226769,0.000226769
