epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,659.973,0.71468,0.75769,0.47563,0.00462,0.25453,0.91067,0.91935,0.97782,0.84979,0.91067,0.91935,0.97782,0.82654,0.55986,0.52278,0.33945,0.00441,0,0.00084759,0.00084759,0.00084759
29,682.187,0.71013,0.73327,0.46577,0.00435,0.25118,0.87547,0.96385,0.97735,0.83896,0.87547,0.96385,0.97735,0.83407,0.63494,0.54884,0.3565,0.00481,0,0.000836841,0.000836841,0.000836841
30,704.504,0.69068,0.75501,0.43636,0.00436,0.25908,0.93325,0.95968,0.98372,0.83338,0.93325,0.95968,0.98372,0.85416,0.63235,0.54228,0.33607,0.00503,0,0.000825808,0.000825808,0.000825808
31,726.857,0.73335,0.75662,0.46314,0.00457,0.25459,0.93328,0.91935,0.98213,0.8633,0.93328,0.91935,0.98213,0.85581,0.5422,0.49711,0.28749,0.00422,0,0.000814503,0.000814503,0.000814503
32,749.687,0.71693,0.73904,0.42173,0.00453,0.2546,0.92695,0.94355,0.98253,0.87654,0.92695,0.94355,0.98253,0.84396,0.50467,0.50279,0.28021,0.00363,0,0.000802938,0.000802938,0.000802938
33,771.971,0.68292,0.73742,0.3908,0.00434,0.22624,0.96459,0.91935,0.98485,0.86241,0.96459,0.91935,0.98485,0.84991,0.55069,0.55184,0.2906,0.00403,0,0.000791122,0.000791122,0.000791122
34,794.131,0.70075,0.70997,0.38481,0.00427,0.23575,0.99137,0.92615,0.9894,0.86866,0.99137,0.92615,0.9894,0.8689,0.51731,0.51976,0.27433,0.00387,0,0.000779069,0.000779069,0.000779069
35,816.412,0.67852,0.70386,0.38067,0.0041,0.20512,0.98259,0.92742,0.98906,0.85755,0.98259,0.92742,0.98906,0.84465,0.58936,0.49948,0.26013,0.00477,0,0.000766789,0.000766789,0.000766789
36,838.42,0.66347,0.72688,0.39733,0.00404,0.23898,0.96553,0.90346,0.98476,0.85852,0.96553,0.90346,0.98476,0.84563,0.58054,0.54406,0.28826,0.00412,0,0.000754296,0.000754296,0.000754296
37,860.838,0.6922,0.7238,0.39878,0.00455,0.22955,0.91562,0.95968,0.9837,0.85782,0.91562,0.95968,0.9837,0.83556,0.56749,0.53186,0.30253,0.004,0,0.000741601,0.000741601,0.000741601
38,883.021,0.66459,0.67487,0.3728,0.00407,0.20861,0.9496,0.94355,0.98749,0.88065,0.9496,0.94355,0.98749,0.85281,0.52405,0.51863,0.28468,0.00429,0,0.000728717,0.000728717,0.000728717
39,905.294,0.65618,0.71627,0.3726,0.00417,0.21395,0.95548,0.94355,0.98825,0.85833,0.95548,0.94355,0.98825,0.85924,0.58179,0.53314,0.27253,0.00473,0,0.000715656,0.000715656,0.000715656
40,927.552,0.63623,0.66351,0.34002,0.00383,0.19264,0.95592,0.98387,0.98802,0.88094,0.95592,0.98387,0.98802,0.84667,0.5315,0.53652,0.25505,0.00448,0,0.000702432,0.000702432,0.000702432
41,950.044,0.64378,0.66397,0.36841,0.004,0.21524,0.94462,0.96296,0.98693,0.88151,0.94462,0.96296,0.98693,0.86278,0.49376,0.51574,0.26817,0.00386,0,0.000689058,0.000689058,0.000689058
42,972.667,0.64865,0.73387,0.39313,0.00399,0.23095,0.93581,0.94056,0.98529,0.88235,0.93581,0.94056,0.98529,0.85598,0.47787,0.52625,0.27652,0.00374,0,0.000675546,0.000675546,0.000675546
43,995.342,0.64404,0.66641,0.39688,0.00386,0.23477,0.96858,0.93548,0.98631,0.86455,0.96858,0.93548,0.98631,0.84566,0.56128,0.52346,0.29211,0.00436,0,0.00066191,0.00066191,0.00066191
44,1017.83,0.65318,0.68462,0.36381,0.00406,0.20034,0.97266,0.95161,0.99034,0.8825,0.97266,0.95161,0.99034,0.86374,0.51614,0.53126,0.23282,0.00373,0,0.000648164,0.000648164,0.000648164
45,1040.1,0.63059,0.68236,0.35195,0.00388,0.20379,0.93511,0.92978,0.98007,0.87233,0.93511,0.92978,0.98007,0.82738,0.50949,0.5016,0.30407,0.00426,0,0.000634322,0.000634322,0.000634322
46,1062.25,0.63429,0.73151,0.3603,0.00386,0.21721,0.98353,0.96334,0.99314,0.88976,0.98353,0.96334,0.99314,0.85557,0.48695,0.52828,0.22511,0.00367,0,0.000620396,0.000620396,0.000620396
47,1084.61,0.61467,0.67672,0.34205,0.00372,0.20073,0.94101,0.96774,0.9879,0.89664,0.94101,0.96774,0.9879,0.84525,0.45294,0.50877,0.24654,0.00319,0,0.0006064,0.0006064,0.0006064
48,1107.1,0.6295,0.68825,0.36789,0.00382,0.20331,0.93709,0.96104,0.98743,0.8833,0.93709,0.96104,0.98743,0.87755,0.46492,0.54528,0.23833,0.00347,0,0.000592349,0.000592349,0.000592349
49,1129.45,0.62097,0.69295,0.34289,0.00366,0.20089,0.98067,0.96774,0.99285,0.9082,0.98067,0.96774,0.99285,0.87294,0.45721,0.50734,0.2116,0.00354,0,0.000578256,0.000578256,0.000578256
50,1151.88,0.60775,0.69184,0.34769,0.00375,0.20477,0.95851,0.93152,0.98821,0.89683,0.95851,0.93152,0.98821,0.86607,0.4677,0.52605,0.2496,0.00353,0,0.000564135,0.000564135,0.000564135
51,1174.36,0.60931,0.64992,0.33062,0.00373,0.19354,0.98218,0.88886,0.98635,0.90002,0.98218,0.88886,0.98635,0.83763,0.44632,0.50499,0.24237,0.00321,0,0.00055,0.00055,0.00055
52,1196.62,0.5907,0.65217,0.31964,0.00349,0.16911,0.96703,0.92742,0.98663,0.89033,0.96703,0.92742,0.98663,0.86539,0.46919,0.50737,0.24614,0.00376,0,0.000535865,0.000535865,0.000535865
53,1219.51,0.57414,0.63373,0.31807,0.00343,0.16778,0.98342,0.92742,0.99107,0.86542,0.98342,0.92742,0.99107,0.87354,0.54679,0.50351,0.24395,0.00408,0,0.000521744,0.000521744,0.000521744
54,1242.84,0.59339,0.65411,0.31047,0.00364,0.17598,0.96014,0.97141,0.99286,0.8994,0.96014,0.97141,0.99286,0.86775,0.47667,0.49643,0.19866,0.0033,0,0.000507651,0.000507651,0.000507651
55,1265.51,0.56851,0.64617,0.31921,0.00334,0.17868,0.95923,0.94866,0.98938,0.89326,0.95923,0.94866,0.98938,0.85136,0.47123,0.48517,0.21873,0.00337,0,0.0004936,0.0004936,0.0004936
56,1288.3,0.58018,0.66605,0.33123,0.0035,0.1884,0.96781,0.95968,0.99149,0.89107,0.96781,0.95968,0.99149,0.85965,0.46158,0.48719,0.22306,0.00331,0,0.000479604,0.000479604,0.000479604
57,1310.91,0.56355,0.60637,0.29317,0.00352,0.16327,0.94465,0.99194,0.99232,0.91552,0.94465,0.99194,0.99232,0.86552,0.41369,0.49278,0.1913,0.00313,0,0.000465678,0.000465678,0.000465678
58,1333.6,0.58387,0.62069,0.31182,0.00355,0.17386,0.9306,0.97581,0.98703,0.90679,0.9306,0.97581,0.98703,0.87592,0.42026,0.48204,0.23457,0.00294,0,0.000451836,0.000451836,0.000451836
59,1356.49,0.56392,0.62644,0.30478,0.00332,0.16751,0.98343,0.91935,0.9903,0.90851,0.98343,0.91935,0.9903,0.87294,0.41687,0.48804,0.21122,0.00304,0,0.00043809,0.00043809,0.00043809
60,1379.23,0.55565,0.62643,0.29961,0.00319,0.1702,0.97949,0.95161,0.99114,0.91182,0.97949,0.95161,0.99114,0.85947,0.41625,0.47301,0.20149,0.00304,0,0.000424454,0.000424454,0.000424454
61,1401.68,0.56307,0.65998,0.29811,0.00325,0.1919,0.97046,0.94355,0.9909,0.89923,0.97046,0.94355,0.9909,0.87222,0.45124,0.47649,0.22511,0.00359,0,0.000410942,0.000410942,0.000410942
62,1424.33,0.57355,0.65321,0.33812,0.00345,0.20118,0.96001,0.96811,0.99263,0.91111,0.96001,0.96811,0.99263,0.87623,0.43952,0.4879,0.19274,0.00336,0,0.000397568,0.000397568,0.000397568
63,1446.98,0.57942,0.64568,0.31955,0.00344,0.20581,0.96762,0.96386,0.9915,0.90239,0.96762,0.96386,0.9915,0.87924,0.45227,0.47879,0.21443,0.0035,0,0.000384344,0.000384344,0.000384344
64,1469.92,0.54201,0.61831,0.28976,0.00325,0.17014,0.97624,0.97581,0.993,0.92026,0.97624,0.97581,0.993,0.88204,0.40887,0.47624,0.21324,0.00297,0,0.000371283,0.000371283,0.000371283
65,1492.79,0.5394,0.61515,0.29728,0.00319,0.15724,0.95974,0.96132,0.99194,0.91628,0.95974,0.96132,0.99194,0.87434,0.41673,0.49532,0.20788,0.00299,0,0.000358399,0.000358399,0.000358399
66,1515.46,0.53211,0.6035,0.26699,0.0031,0.17106,0.96798,0.97525,0.99135,0.92227,0.96798,0.97525,0.99135,0.8706,0.40704,0.47457,0.20155,0.00297,0,0.000345704,0.000345704,0.000345704
67,1537.97,0.54921,0.60855,0.28866,0.00321,0.17253,1,0.95049,0.9921,0.92573,1,0.95049,0.9921,0.86927,0.39404,0.48368,0.19673,0.00285,0,0.000333211,0.000333211,0.000333211
68,1560.9,0.55194,0.6254,0.29537,0.00305,0.1707,0.94589,0.98674,0.99194,0.91603,0.94589,0.98674,0.99194,0.8882,0.41647,0.47172,0.19404,0.00292,0,0.000320931,0.000320931,0.000320931
69,1583.88,0.55141,0.62348,0.30188,0.00325,0.17387,0.97154,0.94355,0.99023,0.90598,0.97154,0.94355,0.99023,0.89548,0.44134,0.46832,0.21393,0.00318,0,0.000308878,0.000308878,0.000308878
70,1606.38,0.54509,0.63266,0.29948,0.00318,0.1828,0.96084,0.98925,0.99249,0.92159,0.96084,0.98925,0.99249,0.886,0.40157,0.47833,0.19429,0.00297,0,0.000297062,0.000297062,0.000297062
71,1628.78,0.53739,0.61779,0.28638,0.0031,0.16215,0.96543,0.97581,0.99108,0.91125,0.96543,0.97581,0.99108,0.89281,0.40339,0.47511,0.19542,0.00317,0,0.000285497,0.000285497,0.000285497
