epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,5787.06,1.62979,2.40681,0.74783,0.00757,0.69748,0.95495,0.95571,0.9806,0.53763,0.86799,0.86014,0.82262,0.2909,1.53944,2.38542,0.46839,0.00768,0,0.000858046,0.000858046,0.000858046
28,6002.03,1.61097,2.40493,0.70898,0.00752,0.65196,0.95168,0.95554,0.97864,0.5357,0.85382,0.85235,0.79747,0.28753,1.53735,2.38714,0.4652,0.0077,0,0.00084759,0.00084759,0.00084759
29,6216.22,1.61266,2.4047,0.73495,0.00743,0.66647,0.95662,0.95661,0.98008,0.54006,0.8665,0.86583,0.81652,0.2898,1.52779,2.37374,0.46678,0.00764,0,0.000836841,0.000836841,0.000836841
30,6430.58,1.61357,2.39251,0.71804,0.00749,0.66091,0.95961,0.95258,0.98129,0.54157,0.86486,0.85775,0.80335,0.28794,1.53243,2.3749,0.46288,0.00765,0,0.000825808,0.000825808,0.000825808
31,6645.27,1.59673,2.40489,0.70641,0.00745,0.63781,0.95897,0.95791,0.98116,0.53923,0.86141,0.85787,0.80408,0.28473,1.52494,2.38131,0.47434,0.00761,0,0.000814503,0.000814503,0.000814503
32,6859.94,1.60395,2.39766,0.70205,0.00744,0.62858,0.95439,0.96153,0.98085,0.54026,0.8575,0.86124,0.80976,0.28706,1.52921,2.38897,0.46076,0.00762,0,0.000802938,0.000802938,0.000802938
33,7075.48,1.60844,2.39418,0.70272,0.00746,0.63993,0.95846,0.95419,0.98108,0.54468,0.86655,0.8594,0.80663,0.28966,1.5238,2.3852,0.45349,0.00759,0,0.000791122,0.000791122,0.000791122
34,7290.28,1.59768,2.37358,0.70471,0.00735,0.63424,0.95655,0.96012,0.97907,0.54367,0.86653,0.86161,0.81433,0.29411,1.5192,2.37821,0.46123,0.00759,0,0.000779069,0.000779069,0.000779069
35,7504.8,1.5912,2.37058,0.69548,0.00742,0.62537,0.95407,0.95822,0.97952,0.54216,0.86459,0.8594,0.82285,0.2967,1.52589,2.37432,0.44904,0.00761,0,0.000766789,0.000766789,0.000766789
36,7720.48,1.59367,2.3792,0.69455,0.00734,0.62681,0.9619,0.95589,0.98195,0.54476,0.87475,0.8536,0.81377,0.29352,1.51781,2.36973,0.45127,0.00756,0,0.000754296,0.000754296,0.000754296
