epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,26369.7,1.25142,1.95014,0.60567,0.00742,0,0.96309,0.96865,0.98936,0.68962,0.91116,0.90934,0.91429,0.52033,0.82987,1.26752,0.2514,0.00723,0,0.000650134,0.000650134,0.000650134
29,27309.7,1.24493,1.93859,0.60537,0.00739,0,0.96553,0.96684,0.98945,0.69079,0.91259,0.90889,0.915,0.52126,0.82923,1.26678,0.24975,0.00722,0,0.000628142,0.000628142,0.000628142
30,28249.4,1.25138,1.94979,0.60479,0.00743,0,0.96663,0.96706,0.98943,0.68978,0.91685,0.90734,0.91554,0.52144,0.82913,1.26653,0.24851,0.00721,0,0.000605955,0.000605955,0.000605955
31,29188.7,1.24087,1.93526,0.60352,0.00737,0,0.96648,0.9659,0.98954,0.6907,0.91766,0.90572,0.91502,0.52143,0.82904,1.26613,0.24857,0.00721,0,0.000583629,0.000583629,0.000583629
32,30129.8,1.24373,1.93567,0.5956,0.00734,0,0.97035,0.96287,0.98967,0.69081,0.91833,0.90617,0.91556,0.52169,0.8286,1.26549,0.24944,0.00721,0,0.000561219,0.000561219,0.000561219
33,31069.3,1.23617,1.932,0.59383,0.00732,0,0.96925,0.96514,0.98974,0.69159,0.91777,0.90594,0.91539,0.52177,0.82863,1.2649,0.24837,0.0072,0,0.000538781,0.000538781,0.000538781
34,32009,1.23631,1.91998,0.5908,0.00729,0,0.97058,0.96412,0.9894,0.69159,0.91972,0.90644,0.91511,0.52214,0.82893,1.2643,0.24731,0.0072,0,0.000516371,0.000516371,0.000516371
35,32949.6,1.23779,1.92185,0.58724,0.00723,0,0.96959,0.96503,0.98943,0.69174,0.9191,0.9073,0.91512,0.52219,0.82811,1.26424,0.24712,0.0072,0,0.000494045,0.000494045,0.000494045
36,33887.2,1.22919,1.91803,0.5806,0.00724,0,0.96671,0.96621,0.98912,0.69197,0.91648,0.90787,0.9154,0.52188,0.82808,1.26392,0.2482,0.00719,0,0.000471858,0.000471858,0.000471858
37,34827.7,1.23051,1.919,0.58843,0.00719,0,0.96475,0.9666,0.98898,0.69186,0.91538,0.90775,0.91529,0.52196,0.82753,1.26352,0.24796,0.00719,0,0.000449866,0.000449866,0.000449866
38,35765.5,1.22192,1.90844,0.57775,0.00718,0,0.96757,0.96574,0.98962,0.69248,0.9176,0.90651,0.91568,0.52231,0.82726,1.26309,0.24706,0.00718,0,0.000428122,0.000428122,0.000428122
39,36706.5,1.22033,1.90734,0.58529,0.00715,0,0.96629,0.96997,0.98974,0.69258,0.91517,0.91088,0.91577,0.52202,0.82717,1.26275,0.24597,0.00718,0,0.000406681,0.000406681,0.000406681
40,37645,1.21273,1.89722,0.56997,0.00715,0,0.96829,0.96771,0.9898,0.69288,0.91699,0.90902,0.91605,0.52254,0.8268,1.26246,0.24532,0.00718,0,0.000385597,0.000385597,0.000385597
41,38585.3,1.21498,1.90194,0.5733,0.00712,0,0.96977,0.96952,0.99005,0.69381,0.9179,0.90968,0.91583,0.52283,0.82634,1.26199,0.2442,0.00717,0,0.000364921,0.000364921,0.000364921
42,39523.9,1.21376,1.9002,0.56953,0.00708,0,0.96797,0.97091,0.99006,0.69411,0.91793,0.9089,0.91484,0.5225,0.82583,1.26196,0.24402,0.00717,0,0.000344705,0.000344705,0.000344705
43,40464.5,1.21045,1.89885,0.56161,0.00707,0,0.96824,0.97012,0.98979,0.69409,0.91803,0.9089,0.91476,0.5224,0.82582,1.26176,0.24398,0.00716,0,0.000325,0.000325,0.000325
44,41405.2,1.21372,1.89384,0.56325,0.00705,0,0.96805,0.9708,0.98979,0.69441,0.91835,0.90901,0.91555,0.52236,0.82553,1.26136,0.2436,0.00716,0,0.000305854,0.000305854,0.000305854
45,42347.1,1.20246,1.88814,0.56007,0.00703,0,0.96849,0.97052,0.98999,0.69464,0.91956,0.90979,0.91612,0.52281,0.82536,1.26077,0.24339,0.00716,0,0.000287315,0.000287315,0.000287315
46,43286.2,1.20149,1.88606,0.56113,0.00707,0,0.9709,0.96808,0.98996,0.69463,0.91898,0.909,0.91593,0.52271,0.82531,1.26063,0.24416,0.00715,0,0.00026943,0.00026943,0.00026943
47,44225.8,1.19785,1.87878,0.55426,0.00703,0,0.97183,0.96967,0.98999,0.69472,0.92018,0.91058,0.91599,0.52335,0.82532,1.26067,0.24266,0.00715,0,0.000252241,0.000252241,0.000252241
48,45167.6,1.19979,1.88309,0.55784,0.00702,0,0.97096,0.96878,0.99008,0.69426,0.92049,0.90956,0.91628,0.52392,0.82488,1.26029,0.24273,0.00715,0,0.000235793,0.000235793,0.000235793
49,46014.4,1.11801,1.85351,0.34376,0.00749,0,0.97475,0.96695,0.99012,0.69373,0.9228,0.9107,0.91667,0.52334,0.82462,1.26014,0.24244,0.00715,0,0.000220127,0.000220127,0.000220127
50,46853.6,1.11206,1.84153,0.33876,0.00746,0,0.97494,0.96729,0.99007,0.69359,0.92353,0.91262,0.91701,0.52359,0.82441,1.25992,0.24161,0.00715,0,0.00020528,0.00020528,0.00020528
